Grade,Example,Type,Title,Material,Image,Table,Explanation,Note
2,1,Information (Description),Van,G2-E1.md,NA,NA,"This extremely short text (22 words) describes a familiar activity of a child drawing a picture using very common words. There is one longer sentence, which is a list of the things Van draws. There is minimal competing information; the colors of the leaves are predictably green and the flowers are red. There is a very simple implied connection that Van is using the new pencils to draw.",NA
2,2,Information (Description),Maya,G2-E2.md,NA,NA,"This extremely short text (23 words) describes a familiar short sequence of three events, using very common words: coming home from school, sweeping the yard, and having a snack. There is minimal competing information, as a second person, Mum, is mentioned once. There is a simple, predictable implication that Mum will be pleased with Maya’s work.",NA
2,3,Information,The Pippi,G2-E3.md,"[""G2-E3.png""]",NA,"This very short text (30 words) presents a simple idea about a familiar concept of a sea shell (the text is not suitable for students with no concept of a sea shell). All of the words are very common except for “pippi.” However, this is the name of the animal and is strongly supported by the illustrations.",NA
3,1,Story,The Mango,G3-E1.md,NA,NA,"This is a short text (55 words) of 8 sentences that uses common words. The setting of walking along on a hot day should be familiar to most students, even those from cool climates. In this story, Abdul’s problem is that he is hot, tired, hungry, and cross. The consequence is that he lies under a cool tree to sleep. His problem is resolved
when a mango drops on his head. This is a simple, straightforward story with a single character. While the outcome, Abdul’s happiness, might be
predictable, the way the outcome happens is not.
The character’s name, gender, and the kind of fruit tree can be changed to make them familiar to students.",NA
3,2,Story,Tadala’s deed,G3-E2.md,NA,NA,"This is a short text (76 words) and 7 sentences that uses common words. The context of finding and handing in a lost article should be familiar to students, as should the idea of being rewarded for providing assistance. In this story, the problem is that Tadala finds a bag, which he gives to the chief. As a consequence, he receives an unexpected reward. This is a simple, straightforward story. While the outcome of Tadala being rewarded in some way for doing the right thing might be predictable, the nature of the reward is not. The character’s name and the gifts given as a reward can be changed so that they are familiar. The village chief can be changed to an appropriate person to manage lost property. The gender of the characters can also be changed.",NA
3,3,Story,The fox and the grapes,G3-E3.md,NA,NA,"This is a short text (57 words) with 8 sentences, including some very short sentences. There are two less common words, “laughing” and “boasting,” that are supported in context and are also fairly predictable. The context should be familiar to students. In this story, the problem is that the fox wants some grapes and boasts that he is strong enough to jump up and get them. The fox fails and a donkey laughs at him. The reason for the donkey’s amusement and the fox’s consequent change in attitude is explicitly stated. There is a clear implication that the fox is humiliated or embarrassed. This is a straightforward, familiar interaction between two characters, with details that are specific to this story. The kinds of animals and the kind of overhanging fruit can be changed so that they are familiar to students.",NA
3,4,Information (Description),Grass,G3-E4.md,NA,NA,"This is a short text (72 words) with 6 mainly longer sentences. Most of the vocabulary is common. Students should be familiar with the idea of soil, even if they are not used to reading this word. This is a simple description of how grass can grow in the cracks of rocks. Grass is likely to be a familiar plant for all students, but the detail about how the soil and seeds get into the cracks of rocks is unlikely to be prior knowledge. Students may not realize that water and warmth are also essential for the grass to grow. It should not be necessary to modify this text for different contexts",NA
3,5,Information (Description),Aliyah,G3-E5.md,NA,NA,"This is a short text (83 words) with 8 sentences. Most of the vocabulary is common. “Meadows” is supported by the context, and students should be familiar with the base words “slip” and “slide” even if they have not read “slippery” and “sliding” before. This is a simple description of Aliyah’s life in the mountains. There is a simple contrast between life with the sheep in the summer and the winter, and a brief description of how the mountain tracks make legs strong and are used for playing a game. The text is appropriate for students with some understanding of cold weather and ice, even if they have not experienced this kind of weather themselves. The name and gender of the person providing the description can be changed.",NA
4,1,Story,The Accident,G4-E1.md,NA,NA,"This text is only slightly longer (97 words) than the grade three texts, but it has more complexity. It includes less common vocabulary: “position,” ankle,” “swelling,” “ambulance,” and “worse.” Students need to know the meaning of most of these words, as there is only limited contextual support. In this story, Than has badly hurt his leg. His parents respond by providing comfort and calling the ambulance. There are three characters who all interact with each other, and a sequence of four events: Than falling, Mum coming, Dad ringing the ambulance, and then the three characters waiting on the stairs. Most of the ideas are explicit, but some simple ideas are implied, such as that Than has broken his leg, or damaged his ankle. The names and genders can be adjusted for context and the ambulance can also be changed to a contextually appropriate health care vehicle or person.",NA
4,2,Story,Noga the Small Girl,G4-E2.md,NA,NA,"This text is considerably longer (122 words) than the grade three texts, but it is fairly straightforward. It includes some direct speech. Most of the vocabulary is common, with “worry” and “chirps” both supported by the context and predictable. Noga’s problem is her small size, but she discovers there are benefits. Noga is the main character and only has one interaction with Mum. There is some detail in a simple sequence of three events: Noga hears the bird, crawls into the hole to get the bird, and puts the bird on a branch. There is one clearly implied idea about why Noga is happy at the end.",NA
